MARC,EDM - 7,DAL - 6,CGY - 5,SJ - 7,OTT - 5,CAR - 6,NYR - 7,PHI - 6
DERRICK,EDM - 6,DAL - 5,CGY - 6,SJ - 5,OTT - 4,CAR - 6,NJ - 5,BUF - 6
CHRIS,EDM - 7,DAL - 5,CGY - 4,SJ - 6,OTT - 6,CAR - 4,NYR - 7,BUF - 6
JACLYN,DET - 5,COL - 4,CGY - 4,SJ - 4,OTT - 5,MON - 4,NJ - 4,BUF - 5
STEPHANIE,DET - 4,DAL - 5,CGY - 5,SJ - 6,OTT - 6,CAR - 5,NJ - 6,BUF - 6
,,,,,,,,
MARC,EDM - 6,COL - 6,OTT - 5,CAR - 7,,,,
DERRICK,EDM - 6,ANA - 5,OTT - 6,NJ - 6,,,,
CHRIS,EDM - 7,ANA - 6,OTT - 5,CAR - 6,,,,
JACLYN,EDM - 4,COL - 5,OTT - 4,NJ - 4,,,,
STEPHANIE,SJ - 5,ANA - 6,BUF - 6,CAR - 6,,,,
,,,,,,,,
MARC,EDM - 5,BUF - 5,,,,,,
DAD,EDM - 6,CAR - 6,,,,,,
MOM,EDM - 6,BUF - 5,,,,,,
JACLYN,EDM - 4,CAR - 5,,,,,,
STEPHANIE,EDM - 6,BUF - 6,,,,,,
,,,,,,,,
MARC,EDM - 6,,,,,,,
DAD,EDM - 6,,,,,,,
MOM,EDM - 5,,,,,,,
JACLYN,EDM - 4,,,,,,,
STEPHANIE,EDM - 6,,,,,,,
